container1,container2,ipc
0.1,0.1,1.0493
0.1,0.2,1.0438
0.1,0.3,1.1241
0.1,0.4,1.2331
0.1,0.5,1.2677
0.1,0.6,1.2767
0.1,0.7,1.5128
0.1,0.8,1.5921
0.1,0.9,1.6045
0.1,1.0,1.6027
0.2,0.2,1.0947
0.2,0.3,1.1469
0.2,0.4,1.203
0.2,0.5,1.2276
0.2,0.6,1.2391
0.2,0.7,1.4268
0.2,0.8,1.4644
0.2,0.9,1.481
0.2,1.0,1.488
0.3,0.3,1.1811
0.3,0.4,1.225
0.3,0.5,1.2216
0.3,0.6,1.253
0.3,0.7,1.345
0.3,0.8,1.3357
0.3,0.9,1.3491
0.3,1.0,1.3457
0.4,0.4,1.2466
0.4,0.5,1.2651
0.4,0.6,1.2808
0.4,0.7,1.2813
0.4,0.8,1.2777
0.4,0.9,1.2832
0.4,1.0,1.278
0.5,0.5,1.2648
0.5,0.6,1.2532
0.5,0.7,1.2593
0.5,0.8,1.2593
0.5,0.9,1.2594
0.5,1.0,1.2527
0.6,0.6,1.2584
0.6,0.7,1.2591
0.6,0.8,1.2638
0.6,0.9,1.2565
0.6,1.0,1.2584
0.7,0.7,1.2651
0.7,0.8,1.266
0.7,0.9,1.2574
0.7,1.0,1.2632
0.8,0.8,1.264
0.8,0.9,1.2602
0.8,1.0,1.2597
0.9,0.9,1.2603
0.9,1.0,1.2605
1.0,1.0,1.2601
