f1_num_of_row_col,f2_num_of_row_col,ipc
100,100,0.94
100,140,0.9882
100,180,1.0022
100,220,0.9892
100,260,0.9677
100,300,1.0163
100,340,1.0302
100,380,1.0399
100,420,1.0406
100,460,1.0632
100,500,1.0546
100,540,1.0658
100,580,1.0705
100,620,1.0775
100,660,1.0845
100,700,1.0821
100,740,1.0909
100,780,1.0878
100,820,1.077
100,860,1.0899
100,900,1.0777
100,940,1.0842
100,980,1.0766
140,140,0.967
140,180,0.9687
140,220,0.9959
140,260,1.0038
140,300,1.0128
140,340,1.0165
140,380,1.0361
140,420,1.05
140,460,1.0635
140,500,1.0628
140,540,1.0679
140,580,1.0739
140,620,1.079
140,660,1.0848
140,700,1.0757
140,740,1.0796
140,780,1.0952
140,820,1.0785
140,860,1.0806
140,900,1.0914
140,940,1.0819
140,980,1.0866
180,180,0.9914
180,220,0.9928
180,260,1.017
180,300,1.0254
180,340,1.0221
180,380,1.0462
180,420,1.0497
180,460,1.053
180,500,1.0568
180,540,1.0771
180,580,1.068
180,620,1.0867
180,660,1.0864
180,700,1.0869
180,740,1.0813
180,780,1.0844
180,820,1.0863
180,860,1.0805
180,900,1.0985
180,940,1.0863
180,980,1.0992
220,220,1.0264
220,260,1.0371
220,300,1.0408
220,340,1.0548
220,380,1.0599
220,420,1.0671
220,460,1.0767
220,500,1.0755
220,540,1.0778
220,580,1.0756
220,620,1.0951
220,660,1.0838
220,700,1.0938
220,740,1.1017
220,780,1.1051
220,820,1.0821
220,860,1.0853
220,900,1.0872
220,940,1.09
220,980,1.1018
260,260,1.0311
260,300,1.0463
260,340,1.0564
260,380,1.0591
260,420,1.0591
260,460,1.0739
260,500,1.0683
260,540,1.0819
260,580,1.0813
260,620,1.0827
260,660,1.0828
260,700,1.0911
260,740,1.0907
260,780,1.0816
260,820,1.0861
260,860,1.0978
260,900,1.0817
260,940,1.0982
260,980,1.0972
300,300,1.0682
300,340,1.0567
300,380,1.0741
300,420,1.0605
300,460,1.0707
300,500,1.0744
300,540,1.086
300,580,1.0858
300,620,1.0913
300,660,1.0919
300,700,1.0982
300,740,1.0886
300,780,1.0949
300,820,1.1037
300,860,1.0897
300,900,1.0986
300,940,1.0853
300,980,1.1069
340,340,1.0807
340,380,1.0706
340,420,1.0754
340,460,1.0801
340,500,1.0836
340,540,1.0863
340,580,1.0827
340,620,1.0907
340,660,1.0982
340,700,1.0979
340,740,1.1032
340,780,1.0945
340,820,1.1037
340,860,1.0959
340,900,1.1164
340,940,1.095
340,980,1.1041
380,380,1.08
380,420,1.0902
380,460,1.0925
380,500,1.0838
380,540,1.0818
380,580,1.0958
380,620,1.1019
380,660,1.0943
380,700,1.0949
380,740,1.0903
380,780,1.0896
380,820,1.1066
380,860,1.0846
380,900,1.1002
380,940,1.0933
380,980,1.1102
420,420,1.0874
420,460,1.0803
420,500,1.0853
420,540,1.0951
420,580,1.0941
420,620,1.0954
420,660,1.0973
420,700,1.1091
420,740,1.0989
420,780,1.0871
420,820,1.1029
420,860,1.0966
420,900,1.1069
420,940,1.0933
420,980,1.0962
460,460,1.0798
460,500,1.0855
460,540,1.0892
460,580,1.1005
460,620,1.0993
460,660,1.0989
460,700,1.0967
460,740,1.0949
460,780,1.1003
460,820,1.0995
460,860,1.1012
460,900,1.0989
460,940,1.0947
460,980,1.1207
500,500,1.0961
500,540,1.0876
500,580,1.0997
500,620,1.1008
500,660,1.1046
500,700,1.1025
500,740,1.1015
500,780,1.0992
500,820,1.0971
500,860,1.1038
500,900,1.1002
500,940,1.0976
500,980,1.0938
540,540,1.1033
540,580,1.1035
540,620,1.1066
540,660,1.101
540,700,1.1041
540,740,1.0975
540,780,1.1062
540,820,1.1051
540,860,1.1041
540,900,1.1024
540,940,1.1045
540,980,1.1086
580,580,1.1014
580,620,1.0933
580,660,1.0983
580,700,1.1097
580,740,1.1147
580,780,1.1087
580,820,1.1013
580,860,1.1037
580,900,1.1019
580,940,1.0989
580,980,1.1101
620,620,1.1225
620,660,1.1065
620,700,1.1063
620,740,1.1007
620,780,1.1058
620,820,1.1036
620,860,1.097
620,900,1.0954
620,940,1.1013
620,980,1.1013
660,660,1.1084
660,700,1.1018
660,740,1.0992
660,780,1.1108
660,820,1.1166
660,860,1.1044
660,900,1.1052
660,940,1.1079
660,980,1.1048
700,700,1.0945
700,740,1.1101
700,780,1.1099
700,820,1.0998
700,860,1.1021
700,900,1.1067
700,940,1.0987
700,980,1.092
740,740,1.0913
740,780,1.1001
740,820,1.0945
740,860,1.0822
740,900,1.0736
740,940,1.0734
740,980,1.1101
780,780,1.0929
780,820,1.1029
780,860,1.0984
780,900,1.0808
780,940,1.0984
780,980,1.08
820,820,1.1066
820,860,1.1005
820,900,1.0999
820,940,1.0961
820,980,1.1086
860,860,1.0958
860,900,1.1015
860,940,1.1008
860,980,1.1016
900,900,1.1011
900,940,1.1054
900,980,1.1045
940,940,1.1034
940,980,1.1008
980,980,1.0947
