f1_num_of_row_col,f2_n,ipc
100,500,0.9719
100,600,0.9853
100,700,1.0109
100,800,1.0233
100,900,1.0445
100,1000,1.0694
100,1100,1.0962
100,1200,1.0868
100,1300,1.1452
100,1400,1.1755
100,1500,1.2074
100,1600,1.2673
100,1700,1.3075
100,1800,1.3278
100,1900,1.3586
100,2000,1.4411
140,500,0.9876
140,600,0.9928
140,700,1.0181
140,800,1.0316
140,900,1.0422
140,1000,1.0646
140,1100,1.0786
140,1200,1.1111
140,1300,1.1444
140,1400,1.1791
140,1500,1.2095
140,1600,1.2396
140,1700,1.2912
140,1800,1.3241
140,1900,1.3835
140,2000,1.3983
180,500,1.0094
180,600,1.0064
180,700,1.0353
180,800,1.0396
180,900,1.0593
180,1000,1.0686
180,1100,1.0705
180,1200,1.1123
180,1300,1.1714
180,1400,1.1782
180,1500,1.2095
180,1600,1.2367
180,1700,1.277
180,1800,1.3143
180,1900,1.3523
180,2000,1.4002
220,500,1.017
220,600,1.035
220,700,1.0288
220,800,1.0592
220,900,1.0521
220,1000,1.0534
220,1100,1.0869
220,1200,1.1212
220,1300,1.1294
220,1400,1.1627
220,1500,1.1857
220,1600,1.2232
220,1700,1.2441
220,1800,1.3083
220,1900,1.3431
220,2000,1.3586
260,500,1.032
260,600,1.0443
260,700,1.0466
260,800,1.0559
260,900,1.0683
260,1000,1.0794
260,1100,1.0921
260,1200,1.1116
260,1300,1.142
260,1400,1.1536
260,1500,1.1792
260,1600,1.2154
260,1700,1.2414
260,1800,1.27
260,1900,1.3301
260,2000,1.3497
300,500,1.0425
300,600,1.0548
300,700,1.0616
300,800,1.0616
300,900,1.0835
300,1000,1.0857
300,1100,1.1017
300,1200,1.1148
300,1300,1.1335
300,1400,1.1538
300,1500,1.1755
300,1600,1.2013
300,1700,1.2289
300,1800,1.2608
300,1900,1.2898
300,2000,1.3223
340,500,1.0578
340,600,1.058
340,700,1.0638
340,800,1.073
340,900,1.0944
340,1000,1.0882
340,1100,1.1026
340,1200,1.1052
340,1300,1.1172
340,1400,1.1484
340,1500,1.2184
340,1600,1.1893
340,1700,1.2184
340,1800,1.2541
