f1_num_of_row_col,f2_dataset_test_object_key,ipc
100,reviews10mb.csv,1.3648
100,reviews20mb.csv,1.4168
100,reviews50mb.csv,1.462
100,reviews100mb.csv,1.5464
140,reviews10mb.csv,1.3744
140,reviews20mb.csv,1.398
140,reviews50mb.csv,1.4542
140,reviews100mb.csv,1.5375
180,reviews10mb.csv,1.3691
180,reviews20mb.csv,1.4047
180,reviews50mb.csv,1.4529
180,reviews100mb.csv,1.5255
220,reviews10mb.csv,1.3591
220,reviews20mb.csv,1.3934
220,reviews50mb.csv,1.4373
220,reviews100mb.csv,1.5121
260,reviews10mb.csv,1.3483
260,reviews20mb.csv,1.3752
260,reviews50mb.csv,1.4238
260,reviews100mb.csv,1.4896
300,reviews10mb.csv,1.3403
300,reviews20mb.csv,1.3677
300,reviews50mb.csv,1.409
300,reviews100mb.csv,1.4891
340,reviews10mb.csv,1.3406
340,reviews20mb.csv,1.3656
340,reviews50mb.csv,1.4053
340,reviews100mb.csv,1.4683
380,reviews10mb.csv,1.3271
380,reviews20mb.csv,1.3496
380,reviews50mb.csv,1.3912
380,reviews100mb.csv,1.4621
420,reviews10mb.csv,1.3185
420,reviews20mb.csv,1.3457
420,reviews50mb.csv,1.3851
420,reviews100mb.csv,1.4388
460,reviews10mb.csv,1.3059
460,reviews20mb.csv,1.3289
460,reviews50mb.csv,1.3712
460,reviews100mb.csv,1.434
500,reviews10mb.csv,1.2964
500,reviews20mb.csv,1.3188
500,reviews50mb.csv,1.3544
500,reviews100mb.csv,1.414
540,reviews10mb.csv,1.2939
540,reviews20mb.csv,1.3058
540,reviews50mb.csv,1.3385
540,reviews100mb.csv,1.3971
580,reviews10mb.csv,1.2889
580,reviews20mb.csv,1.2966
580,reviews50mb.csv,1.3184
580,reviews100mb.csv,1.3851
620,reviews10mb.csv,1.2678
620,reviews20mb.csv,1.2799
620,reviews50mb.csv,1.3164
620,reviews100mb.csv,1.3733
660,reviews10mb.csv,1.2636
660,reviews20mb.csv,1.2708
660,reviews50mb.csv,1.3063
660,reviews100mb.csv,1.3534
700,reviews10mb.csv,1.2629
700,reviews20mb.csv,1.2775
700,reviews50mb.csv,1.2906
700,reviews100mb.csv,1.3565
740,reviews10mb.csv,1.2579
740,reviews20mb.csv,1.2658
740,reviews50mb.csv,1.301
740,reviews100mb.csv,1.3485
780,reviews10mb.csv,1.2601
780,reviews20mb.csv,1.2613
780,reviews50mb.csv,1.2972
780,reviews100mb.csv,1.3382
820,reviews10mb.csv,1.2571
820,reviews20mb.csv,1.2616
820,reviews50mb.csv,1.2916
820,reviews100mb.csv,1.3534
860,reviews10mb.csv,1.2542
860,reviews20mb.csv,1.2691
860,reviews50mb.csv,1.2867
860,reviews100mb.csv,1.3263
900,reviews10mb.csv,1.264
900,reviews20mb.csv,1.28
900,reviews50mb.csv,1.2987
900,reviews100mb.csv,1.3418
940,reviews10mb.csv,1.255
940,reviews20mb.csv,1.2678
940,reviews50mb.csv,1.2919
940,reviews100mb.csv,1.3364
980,reviews10mb.csv,1.2487
980,reviews20mb.csv,1.2735
980,reviews50mb.csv,1.3029
980,reviews100mb.csv,1.3511
