f1_num_of_row_col,f2_dataset_object_key,ipc
100,reviews10mb.csv,1.3372
100,reviews20mb.csv,1.3709
100,reviews50mb.csv,1.4495
100,reviews100mb.csv,1.5327
140,reviews10mb.csv,1.3322
140,reviews20mb.csv,1.3774
140,reviews50mb.csv,1.444
140,reviews100mb.csv,1.5292
180,reviews10mb.csv,1.3268
180,reviews20mb.csv,1.3608
180,reviews50mb.csv,1.443
180,reviews100mb.csv,1.5167
220,reviews10mb.csv,1.3215
220,reviews20mb.csv,1.3537
220,reviews50mb.csv,1.412
220,reviews100mb.csv,1.4923
260,reviews10mb.csv,1.3114
260,reviews20mb.csv,1.3501
260,reviews50mb.csv,1.4234
260,reviews100mb.csv,1.4861
300,reviews10mb.csv,1.304
300,reviews20mb.csv,1.3443
300,reviews50mb.csv,1.4037
300,reviews100mb.csv,1.4785
340,reviews10mb.csv,1.3042
340,reviews20mb.csv,1.3333
340,reviews50mb.csv,1.3912
340,reviews100mb.csv,1.4605
380,reviews10mb.csv,1.2952
380,reviews20mb.csv,1.3152
380,reviews50mb.csv,1.3864
380,reviews100mb.csv,1.4484
420,reviews10mb.csv,1.2846
420,reviews20mb.csv,1.3114
420,reviews50mb.csv,1.3753
420,reviews100mb.csv,1.4321
460,reviews10mb.csv,1.2829
460,reviews20mb.csv,1.3044
460,reviews50mb.csv,1.3621
460,reviews100mb.csv,1.4136
500,reviews10mb.csv,1.2686
500,reviews20mb.csv,1.2955
500,reviews50mb.csv,1.346
500,reviews100mb.csv,1.4044
540,reviews10mb.csv,1.2599
540,reviews20mb.csv,1.2761
540,reviews50mb.csv,1.334
540,reviews100mb.csv,1.385
580,reviews10mb.csv,1.2569
580,reviews20mb.csv,1.2746
580,reviews50mb.csv,1.3283
580,reviews100mb.csv,1.3728
620,reviews10mb.csv,1.2465
620,reviews20mb.csv,1.2582
620,reviews50mb.csv,1.3111
620,reviews100mb.csv,1.3547
660,reviews10mb.csv,1.2427
660,reviews20mb.csv,1.2521
660,reviews50mb.csv,1.2875
660,reviews100mb.csv,1.3514
700,reviews10mb.csv,1.2394
700,reviews20mb.csv,1.2625
700,reviews50mb.csv,1.2861
700,reviews100mb.csv,1.3474
740,reviews10mb.csv,1.2308
740,reviews20mb.csv,1.2481
740,reviews50mb.csv,1.2925
740,reviews100mb.csv,1.339
780,reviews10mb.csv,1.2317
780,reviews20mb.csv,1.252
780,reviews50mb.csv,1.2838
780,reviews100mb.csv,1.3252
820,reviews10mb.csv,1.2361
820,reviews20mb.csv,1.2601
820,reviews50mb.csv,1.2834
820,reviews100mb.csv,1.3305
860,reviews10mb.csv,1.2257
860,reviews20mb.csv,1.2529
860,reviews50mb.csv,1.2956
860,reviews100mb.csv,1.3327
900,reviews10mb.csv,1.2339
900,reviews20mb.csv,1.2595
900,reviews50mb.csv,1.2917
900,reviews100mb.csv,1.3405
940,reviews10mb.csv,1.2358
940,reviews20mb.csv,1.2457
940,reviews50mb.csv,1.3033
940,reviews100mb.csv,1.3475
980,reviews10mb.csv,1.2325
980,reviews20mb.csv,1.2523
980,reviews50mb.csv,1.2883
980,reviews100mb.csv,1.3403
