f1_num_of_row_col,f2_length_of_message,f2_num_of_iterations,ipc
100,512,32,1.0848
100,512,48,1.1286
100,512,64,1.182
100,1024,32,1.1683
100,1024,48,1.2362
100,1024,64,1.2429
100,1536,32,1.2278
100,1536,48,1.2579
100,1536,64,1.3105
100,2048,32,1.254
100,2048,48,1.3218
100,2048,64,1.3423
140,512,32,1.1042
140,512,48,1.1528
140,512,64,1.1872
140,1024,32,1.1752
140,1024,48,1.2282
140,1024,64,1.2652
140,1536,32,1.2228
140,1536,48,1.2792
140,1536,64,1.3084
140,2048,32,1.2489
140,2048,48,1.3129
140,2048,64,1.3531
180,512,32,1.1119
180,512,48,1.1397
180,512,64,1.1706
180,1024,32,1.1579
180,1024,48,1.2092
180,1024,64,1.2581
180,1536,32,1.2169
180,1536,48,1.2754
180,1536,64,1.3073
180,2048,32,1.2544
180,2048,48,1.2947
180,2048,64,1.3417
220,512,32,1.0962
220,512,48,1.1351
220,512,64,1.1635
220,1024,32,1.1663
220,1024,48,1.2105
220,1024,64,1.2523
220,1536,32,1.2142
220,1536,48,1.2658
220,1536,64,1.2848
220,2048,32,1.2467
220,2048,48,1.2948
220,2048,64,1.326
260,512,32,1.1062
260,512,48,1.1407
260,512,64,1.1647
260,1024,32,1.1585
260,1024,48,1.195
260,1024,64,1.2436
260,1536,32,1.1934
260,1536,48,1.246
260,1536,64,1.2763
260,2048,32,1.2325
260,2048,48,1.2868
260,2048,64,1.3047
300,512,32,1.1115
300,512,48,1.1335
300,512,64,1.1618
300,1024,32,1.1523
300,1024,48,1.1773
300,1024,64,1.2246
300,1536,32,1.1948
300,1536,48,1.2373
300,1536,64,1.2878
300,2048,32,1.2278
300,2048,48,1.2708
300,2048,64,1.3049
340,512,32,1.1109
340,512,48,1.1387
340,512,64,1.1465
340,1024,32,1.1542
340,1024,48,1.1852
340,1024,64,1.2192
340,1536,32,1.2074
340,1536,48,1.2354
340,1536,64,1.263
340,2048,32,1.2204
340,2048,48,1.2618
340,2048,64,1.2885
380,512,32,1.1212
380,512,48,1.1352
380,512,64,1.1609
380,1024,32,1.1489
380,1024,48,1.1794
380,1024,64,1.2131
380,1536,32,1.1866
380,1536,48,1.2235
380,1536,64,1.2461
380,2048,32,1.2095
380,2048,48,1.2639
380,2048,64,1.2889
420,512,32,1.1187
420,512,48,1.1205
420,512,64,1.151
420,1024,32,1.143
420,1024,48,1.1813
420,1024,64,1.2027
420,1536,32,1.1657
420,1536,48,1.2134
420,1536,64,1.2409
420,2048,32,1.2048
420,2048,48,1.2569
420,2048,64,1.2711
460,512,32,1.1011
460,512,48,1.1511
460,512,64,1.1462
460,1024,32,1.1464
460,1024,48,1.1723
460,1024,64,1.1894
460,1536,32,1.1678
460,1536,48,1.2064
460,1536,64,1.2444
460,2048,32,1.2036
460,2048,48,1.2343
460,2048,64,1.2672
500,512,32,1.1021
500,512,48,1.1231
500,512,64,1.1361
500,1024,32,1.1379
500,1024,48,1.1648
500,1024,64,1.1961
500,1536,32,1.173
500,1536,48,1.1995
500,1536,64,1.2278
500,2048,32,1.1951
500,2048,48,1.2201
500,2048,64,1.2647
540,512,32,1.1242
540,512,48,1.1262
540,512,64,1.1382
540,1024,32,1.1351
540,1024,48,1.16
540,1024,64,1.1966
540,1536,32,1.1629
540,1536,48,1.1905
540,1536,64,1.2197
540,2048,32,1.1932
540,2048,48,1.2265
540,2048,64,1.2459
580,512,32,1.1232
580,512,48,1.1145
580,512,64,1.1408
580,1024,32,1.1473
580,1024,48,1.1663
580,1024,64,1.187
580,1536,32,1.1651
580,1536,48,1.1856
580,1536,64,1.2092
580,2048,32,1.1878
580,2048,48,1.2171
580,2048,64,1.242
620,512,32,1.1137
620,512,48,1.1224
620,512,64,1.1484
620,1024,32,1.1399
620,1024,48,1.17
620,1024,64,1.1694
620,1536,32,1.1587
620,1536,48,1.1805
620,1536,64,1.2047
620,2048,32,1.1681
620,2048,48,1.2053
620,2048,64,1.2165
660,512,32,1.1179
660,512,48,1.1244
660,512,64,1.1413
660,1024,32,1.1398
660,1024,48,1.1617
660,1024,64,1.169
660,1536,32,1.1474
660,1536,48,1.1789
660,1536,64,1.1897
660,2048,32,1.1718
660,2048,48,1.1957
660,2048,64,1.216
700,512,32,1.092
700,512,48,1.1347
700,512,64,1.1498
700,1024,32,1.1312
700,1024,48,1.1497
700,1024,64,1.172
700,1536,32,1.1508
700,1536,48,1.1654
700,1536,64,1.195
700,2048,32,1.1722
700,2048,48,1.1908
700,2048,64,1.22
740,512,32,1.1192
740,512,48,1.1237
740,512,64,1.1277
740,1024,32,1.1413
740,1024,48,1.1549
740,1024,64,1.1731
740,1536,32,1.1428
740,1536,48,1.1802
740,1536,64,1.201
740,2048,32,1.167
740,2048,48,1.1911
740,2048,64,1.2201
780,512,32,1.1175
780,512,48,1.1233
780,512,64,1.1196
780,1024,32,1.1334
780,1024,48,1.1472
780,1024,64,1.163
780,1536,32,1.1487
780,1536,48,1.1657
780,1536,64,1.1958
780,2048,32,1.1647
780,2048,48,1.1893
780,2048,64,1.2185
820,512,32,1.1142
820,512,48,1.1272
820,512,64,1.1374
820,1024,32,1.1393
820,1024,48,1.1553
820,1024,64,1.1644
820,1536,32,1.1591
820,1536,48,1.1671
820,1536,64,1.1962
820,2048,32,1.1751
820,2048,48,1.1933
820,2048,64,1.2229
860,512,32,1.12
860,512,48,1.1262
860,512,64,1.1309
860,1024,32,1.1347
860,1024,48,1.1553
860,1024,64,1.1612
860,1536,32,1.1493
860,1536,48,1.1707
860,1536,64,1.1866
860,2048,32,1.1698
860,2048,48,1.2019
860,2048,64,1.2226
900,512,32,1.1221
900,512,48,1.1252
900,512,64,1.1397
900,1024,32,1.1392
900,1024,48,1.1509
900,1024,64,1.1608
900,1536,32,1.1501
900,1536,48,1.1768
900,1536,64,1.1943
900,2048,32,1.1713
900,2048,48,1.2015
900,2048,64,1.2282
940,512,32,1.1146
940,512,48,1.1178
940,512,64,1.1277
940,1024,32,1.1336
940,1024,48,1.1518
940,1024,64,1.1735
940,1536,32,1.1495
940,1536,48,1.177
940,1536,64,1.2019
940,2048,32,1.176
940,2048,48,1.1907
940,2048,64,1.2266
980,512,32,1.1178
980,512,48,1.1282
980,512,64,1.129
980,1024,32,1.1434
980,1024,48,1.1553
980,1024,64,1.1701
980,1536,32,1.1546
980,1536,48,1.1845
980,1536,64,1.1969
980,2048,32,1.1718
980,2048,48,1.1979
980,2048,64,1.2152
