f1_object_key,f2_object_key,ipc
reviews10mb.csv,dog_1.jpg,1.6944
reviews10mb.csv,dog_2.jpg,1.937
reviews10mb.csv,dog_3.jpg,2.1246
reviews10mb.csv,dog_4.jpg,2.1372
reviews10mb.csv,dog_5.jpg,1.9888
reviews10mb.csv,dog_6.jpg,1.757
reviews10mb.csv,dog_7.jpg,1.5591
reviews10mb.csv,dog_8.jpg,1.3073
reviews10mb.csv,dog_9.jpg,1.2771
reviews20mb.csv,dog_1.jpg,1.6773
reviews20mb.csv,dog_2.jpg,1.8683
reviews20mb.csv,dog_3.jpg,2.0208
reviews20mb.csv,dog_4.jpg,1.981
reviews20mb.csv,dog_5.jpg,1.8804
reviews20mb.csv,dog_6.jpg,1.6926
reviews20mb.csv,dog_7.jpg,1.4962
reviews20mb.csv,dog_8.jpg,1.3083
reviews20mb.csv,dog_9.jpg,1.3249
reviews50mb.csv,dog_1.jpg,1.6924
reviews50mb.csv,dog_2.jpg,1.8706
reviews50mb.csv,dog_3.jpg,2.0387
reviews50mb.csv,dog_4.jpg,2.024
reviews50mb.csv,dog_5.jpg,1.9192
reviews50mb.csv,dog_6.jpg,1.6625
reviews50mb.csv,dog_7.jpg,1.4746
reviews50mb.csv,dog_8.jpg,1.3714
reviews50mb.csv,dog_9.jpg,1.3999
reviews100mb.csv,dog_1.jpg,1.7893
reviews100mb.csv,dog_2.jpg,1.9262
reviews100mb.csv,dog_3.jpg,2.0529
reviews100mb.csv,dog_4.jpg,2.117
reviews100mb.csv,dog_5.jpg,2.0146
reviews100mb.csv,dog_6.jpg,1.7992
reviews100mb.csv,dog_7.jpg,1.5586
reviews100mb.csv,dog_8.jpg,1.4318
reviews100mb.csv,dog_9.jpg,1.4437
