f1_object_key,f2_length_of_message,f2_num_of_iterations,ipc
reviews10mb.csv,512,32,1.3604
reviews10mb.csv,512,48,1.3731
reviews10mb.csv,512,64,1.3818
reviews10mb.csv,1024,32,1.3778
reviews10mb.csv,1024,48,1.3954
reviews10mb.csv,1024,64,1.3999
reviews10mb.csv,1536,32,1.3965
reviews10mb.csv,1536,48,1.3989
reviews10mb.csv,1536,64,1.3958
reviews10mb.csv,2048,32,1.3977
reviews10mb.csv,2048,48,1.3989
reviews10mb.csv,2048,64,1.4037
reviews20mb.csv,512,32,1.4421
reviews20mb.csv,512,48,1.4381
reviews20mb.csv,512,64,1.4421
reviews20mb.csv,1024,32,1.4375
reviews20mb.csv,1024,48,1.4404
reviews20mb.csv,1024,64,1.4451
reviews20mb.csv,1536,32,1.4436
reviews20mb.csv,1536,48,1.4463
reviews20mb.csv,1536,64,1.4409
reviews20mb.csv,2048,32,1.4468
reviews20mb.csv,2048,48,1.4477
reviews20mb.csv,2048,64,1.455
reviews50mb.csv,512,32,1.4697
reviews50mb.csv,512,48,1.5187
reviews50mb.csv,512,64,1.5196
reviews50mb.csv,1024,32,1.5122
reviews50mb.csv,1024,48,1.518
reviews50mb.csv,1024,64,1.4904
reviews50mb.csv,1536,32,1.5155
reviews50mb.csv,1536,48,1.5034
reviews50mb.csv,1536,64,1.5105
reviews50mb.csv,2048,32,1.4874
reviews50mb.csv,2048,48,1.5071
reviews50mb.csv,2048,64,1.4884
reviews100mb.csv,512,32,1.6109
reviews100mb.csv,512,48,1.6023
reviews100mb.csv,512,64,1.6003
reviews100mb.csv,1024,32,1.5897
reviews100mb.csv,1024,48,1.5933
reviews100mb.csv,1024,64,1.5863
reviews100mb.csv,1536,32,1.5937
reviews100mb.csv,1536,48,1.5615
reviews100mb.csv,1536,64,1.5767
reviews100mb.csv,2048,32,1.5872
reviews100mb.csv,2048,48,1.5755
reviews100mb.csv,2048,64,1.5583
