f1_n,f2_object_key,ipc
200000,dog_1.jpg,1.9757
200000,dog_2.jpg,2.2343
200000,dog_3.jpg,2.3519
200000,dog_4.jpg,2.3936
200000,dog_5.jpg,2.252
200000,dog_6.jpg,1.9045
200000,dog_7.jpg,1.5717
200000,dog_8.jpg,1.1888
200000,dog_9.jpg,1.2301
300000,dog_1.jpg,1.9529
300000,dog_2.jpg,2.2133
300000,dog_3.jpg,2.3558
300000,dog_4.jpg,2.3842
300000,dog_5.jpg,2.249
300000,dog_6.jpg,1.8995
300000,dog_7.jpg,1.4712
300000,dog_8.jpg,1.197
300000,dog_9.jpg,1.2325
400000,dog_1.jpg,1.9361
400000,dog_2.jpg,2.1991
400000,dog_3.jpg,2.3508
400000,dog_4.jpg,2.372
400000,dog_5.jpg,2.2203
400000,dog_6.jpg,1.8912
400000,dog_7.jpg,1.5817
400000,dog_8.jpg,1.2117
400000,dog_9.jpg,1.2309
500000,dog_1.jpg,1.909
500000,dog_2.jpg,2.1923
500000,dog_3.jpg,2.3321
500000,dog_4.jpg,2.3676
500000,dog_5.jpg,2.2196
500000,dog_6.jpg,1.9006
500000,dog_7.jpg,1.5816
500000,dog_8.jpg,1.223
500000,dog_9.jpg,1.2392
600000,dog_1.jpg,1.9367
600000,dog_2.jpg,2.1699
600000,dog_3.jpg,2.3257
600000,dog_4.jpg,2.3496
600000,dog_5.jpg,2.2202
600000,dog_6.jpg,1.9049
600000,dog_7.jpg,1.5973
600000,dog_8.jpg,1.2245
600000,dog_9.jpg,1.2455
700000,dog_1.jpg,1.8886
700000,dog_2.jpg,2.1552
700000,dog_3.jpg,2.3182
700000,dog_4.jpg,2.349
700000,dog_5.jpg,2.2078
700000,dog_6.jpg,1.9041
700000,dog_7.jpg,1.5157
700000,dog_8.jpg,1.2143
700000,dog_9.jpg,1.2467
800000,dog_1.jpg,1.8989
800000,dog_2.jpg,2.1123
800000,dog_3.jpg,2.2755
800000,dog_4.jpg,2.3252
800000,dog_5.jpg,2.1945
800000,dog_6.jpg,1.9073
800000,dog_7.jpg,1.6069
800000,dog_8.jpg,1.2362
800000,dog_9.jpg,1.2581
900000,dog_1.jpg,1.8887
900000,dog_2.jpg,2.1078
900000,dog_3.jpg,2.2969
900000,dog_4.jpg,2.3102
900000,dog_5.jpg,2.1893
900000,dog_6.jpg,1.8904
900000,dog_7.jpg,1.5957
900000,dog_8.jpg,1.2753
900000,dog_9.jpg,1.2497
1000000,dog_1.jpg,1.8436
1000000,dog_2.jpg,2.0905
1000000,dog_3.jpg,2.2879
1000000,dog_4.jpg,2.2996
1000000,dog_5.jpg,2.1562
1000000,dog_6.jpg,1.8493
1000000,dog_7.jpg,1.5712
1000000,dog_8.jpg,1.2611
1000000,dog_9.jpg,1.2574
1100000,dog_1.jpg,1.8208
1100000,dog_2.jpg,2.1386
1100000,dog_3.jpg,2.258
1100000,dog_4.jpg,2.3017
1100000,dog_5.jpg,2.1667
1100000,dog_6.jpg,1.8757
1100000,dog_7.jpg,1.5998
1100000,dog_8.jpg,1.2797
1100000,dog_9.jpg,1.2619
1200000,dog_1.jpg,1.836
1200000,dog_2.jpg,2.1092
1200000,dog_3.jpg,2.2626
1200000,dog_4.jpg,2.2884
1200000,dog_5.jpg,2.1785
1200000,dog_6.jpg,1.879
1200000,dog_7.jpg,1.5885
1200000,dog_8.jpg,1.261
1200000,dog_9.jpg,1.2748
1300000,dog_1.jpg,1.8422
1300000,dog_2.jpg,2.0984
1300000,dog_3.jpg,2.2453
1300000,dog_4.jpg,2.2582
1300000,dog_5.jpg,2.1701
1300000,dog_6.jpg,1.8909
1300000,dog_7.jpg,1.5931
1300000,dog_8.jpg,1.2987
1300000,dog_9.jpg,1.2794
1400000,dog_1.jpg,1.8627
1400000,dog_2.jpg,2.0648
1400000,dog_3.jpg,2.2389
1400000,dog_4.jpg,2.2518
1400000,dog_5.jpg,2.1595
1400000,dog_6.jpg,1.8502
1400000,dog_7.jpg,1.6008
1400000,dog_8.jpg,1.2951
1400000,dog_9.jpg,1.3168
1500000,dog_1.jpg,1.8373
1500000,dog_2.jpg,2.0555
1500000,dog_3.jpg,2.2414
1500000,dog_4.jpg,2.2391
1500000,dog_5.jpg,2.1517
1500000,dog_6.jpg,1.8785
1500000,dog_7.jpg,1.61
1500000,dog_8.jpg,1.2695
1500000,dog_9.jpg,1.2764
1600000,dog_1.jpg,1.834
1600000,dog_2.jpg,2.0677
1600000,dog_3.jpg,2.2147
1600000,dog_4.jpg,2.2341
1600000,dog_5.jpg,2.1495
1600000,dog_6.jpg,1.8706
1600000,dog_7.jpg,1.57
1600000,dog_8.jpg,1.2612
1600000,dog_9.jpg,1.2652
1700000,dog_1.jpg,1.7956
1700000,dog_2.jpg,2.0676
1700000,dog_3.jpg,2.2309
1700000,dog_4.jpg,2.2394
1700000,dog_5.jpg,2.1193
1700000,dog_6.jpg,1.8478
1700000,dog_7.jpg,1.6118
1700000,dog_8.jpg,1.3
1700000,dog_9.jpg,1.2964
1800000,dog_1.jpg,1.797
1800000,dog_2.jpg,2.0514
1800000,dog_3.jpg,2.2042
1800000,dog_4.jpg,2.2197
1800000,dog_5.jpg,2.1203
1800000,dog_6.jpg,1.8669
1800000,dog_7.jpg,1.6122
1800000,dog_8.jpg,1.3052
1800000,dog_9.jpg,1.2961
1900000,dog_1.jpg,1.8316
1900000,dog_2.jpg,2.0303
1900000,dog_3.jpg,2.2238
1900000,dog_4.jpg,2.2201
1900000,dog_5.jpg,2.1125
1900000,dog_6.jpg,1.8424
1900000,dog_7.jpg,1.6123
1900000,dog_8.jpg,1.3706
1900000,dog_9.jpg,1.2828
