f1_n,f2_n,ipc
200000,500,1.6351
200000,600,1.8451
200000,700,2.0375
200000,800,2.2812
200000,900,2.452
200000,1000,2.5703
200000,1100,2.6882
200000,1200,2.8105
200000,1300,2.8895
200000,1400,2.9172
200000,1500,2.9202
200000,1600,2.9139
200000,1700,2.9144
200000,1800,2.9302
200000,1900,2.9554
200000,2000,2.9295
300000,500,1.6598
300000,600,1.8243
300000,700,2.0062
300000,800,2.2444
300000,900,2.4066
300000,1000,2.5568
300000,1100,2.6773
300000,1200,2.7496
300000,1300,2.8452
300000,1400,2.8907
300000,1500,2.8942
300000,1600,2.8549
300000,1700,2.8497
300000,1800,2.9116
300000,1900,2.9327
300000,2000,2.9301
400000,500,1.6258
400000,600,1.8351
400000,700,1.99
400000,800,2.2347
400000,900,2.4081
400000,1000,2.5501
400000,1100,2.6594
400000,1200,2.7321
400000,1300,2.8456
400000,1400,2.8638
400000,1500,2.8813
400000,1600,2.8729
400000,1700,2.8869
400000,1800,2.8929
400000,1900,2.9036
400000,2000,2.9041
500000,500,1.6678
500000,600,1.7858
500000,700,1.9787
500000,800,2.2404
500000,900,2.37
500000,1000,2.5213
500000,1100,2.6276
500000,1200,2.7309
500000,1300,2.8287
500000,1400,2.8328
500000,1500,2.8477
500000,1600,2.8542
500000,1700,2.8596
500000,1800,2.8654
500000,1900,2.8309
500000,2000,2.8918
600000,500,1.6502
600000,600,1.7476
600000,700,1.9735
600000,800,2.1868
600000,900,2.3591
600000,1000,2.4983
600000,1100,2.617
600000,1200,2.6571
600000,1300,2.8055
600000,1400,2.8148
600000,1500,2.841
600000,1600,2.8324
600000,1700,2.8478
600000,1800,2.859
600000,1900,2.8691
600000,2000,2.8657
700000,500,1.6313
700000,600,1.8038
700000,700,1.9219
700000,800,2.1486
700000,900,2.3351
700000,1000,2.4763
700000,1100,2.5935
700000,1200,2.6998
700000,1300,2.7817
700000,1400,2.8111
700000,1500,2.8078
700000,1600,2.8104
700000,1700,2.7905
700000,1800,2.7922
700000,1900,2.8549
700000,2000,2.8436
800000,500,1.6302
800000,600,1.7766
800000,700,1.9308
800000,800,2.1101
800000,900,2.3079
800000,1000,2.4473
800000,1100,2.5663
800000,1200,2.6652
800000,1300,2.7475
800000,1400,2.7491
800000,1500,2.8022
800000,1600,2.7827
800000,1700,2.8004
800000,1800,2.8031
800000,1900,2.8334
800000,2000,2.8328
900000,500,1.6669
900000,600,1.7729
900000,700,1.9307
900000,800,2.1393
900000,900,2.277
900000,1000,2.4246
900000,1100,2.5012
900000,1200,2.6215
900000,1300,2.7296
900000,1400,2.7375
900000,1500,2.7672
900000,1600,2.7847
900000,1700,2.7957
900000,1800,2.7924
900000,1900,2.8013
900000,2000,2.8214
1000000,500,1.6474
1000000,600,1.7494
1000000,700,1.9264
1000000,800,2.1225
1000000,900,2.2516
1000000,1000,2.3858
1000000,1100,2.5411
1000000,1200,2.6455
1000000,1300,2.7331
1000000,1400,2.7495
1000000,1500,2.7535
1000000,1600,2.742
1000000,1700,2.7401
1000000,1800,2.774
1000000,1900,2.7922
1000000,2000,2.7984
1100000,500,1.6369
1100000,600,1.7255
1100000,700,1.9271
1100000,800,2.0811
1100000,900,2.2133
1100000,1000,2.3928
1100000,1100,2.4848
1100000,1200,2.5577
1100000,1300,2.71
1100000,1400,2.7268
1100000,1500,2.6268
1100000,1600,2.7005
1100000,1700,2.6839
1100000,1800,2.6721
1100000,1900,2.7165
1100000,2000,2.7724
1200000,500,1.6497
1200000,600,1.7298
1200000,700,1.8907
1200000,800,2.0665
1200000,900,2.2107
1200000,1000,2.3509
1200000,1100,2.4885
1200000,1200,2.6012
1200000,1300,2.6944
1200000,1400,2.707
1200000,1500,2.7199
1200000,1600,2.6967
1200000,1700,2.7268
1200000,1800,2.7098
1200000,1900,2.7254
1200000,2000,2.7299
1300000,500,1.6266
1300000,600,1.745
1300000,700,1.8418
1300000,800,2.0545
1300000,900,2.2165
1300000,1000,2.3535
1300000,1100,2.4453
1300000,1200,2.598
1300000,1300,2.7035
1300000,1400,2.713
1300000,1500,2.7086
1300000,1600,2.6852
1300000,1700,2.703
1300000,1800,2.7186
1300000,1900,2.7178
1300000,2000,2.7064
1400000,500,1.6461
1400000,600,1.7423
1400000,700,1.8622
1400000,800,2.0366
1400000,900,2.184
1400000,1000,2.3205
1400000,1100,2.4636
1400000,1200,2.544
1400000,1300,2.6362
1400000,1400,2.6637
1400000,1500,2.6876
1400000,1600,2.658
1400000,1700,2.6825
1400000,1800,2.6758
1400000,1900,2.7026
1400000,2000,2.6799
1500000,500,1.6147
1500000,600,1.7206
1500000,700,1.8492
1500000,800,2.0167
1500000,900,2.2051
1500000,1000,2.2845
1500000,1100,2.4575
1500000,1200,2.5455
1500000,1300,2.6693
1500000,1400,2.6711
1500000,1500,2.6818
1500000,1600,2.6609
1500000,1700,2.6543
1500000,1800,2.6784
1500000,1900,2.6635
1500000,2000,2.6913
1600000,500,1.5481
1600000,600,1.7575
1600000,700,1.8585
1600000,800,1.9877
1600000,900,2.168
1600000,1000,2.2726
1600000,1100,2.3979
1600000,1200,2.5148
1600000,1300,2.6358
1600000,1400,2.6575
1600000,1500,2.6518
1600000,1600,2.6512
1600000,1700,2.6494
1600000,1800,2.6436
1600000,1900,2.664
1600000,2000,2.6718
1700000,500,1.6285
1700000,600,1.7453
1700000,700,1.859
1700000,800,1.9722
1700000,900,2.1512
1700000,1000,2.2881
1700000,1100,2.3968
1700000,1200,2.5451
1700000,1300,2.6056
1700000,1400,2.6161
1700000,1500,2.6278
1700000,1600,2.6396
1700000,1700,2.6263
