f1_n,f2_length_of_message,f2_num_of_iterations,ipc
200000,512,32,1.1772
200000,512,48,1.2255
200000,512,64,1.2463
200000,1024,32,1.2329
200000,1024,48,1.2692
200000,1024,64,1.3261
200000,1536,32,1.2615
200000,1536,48,1.2985
200000,1536,64,1.3289
200000,2048,32,1.3311
200000,2048,48,1.3241
200000,2048,64,1.3469
300000,512,32,1.1972
300000,512,48,1.2518
300000,512,64,1.2624
300000,1024,32,1.2516
300000,1024,48,1.3179
300000,1024,64,1.2815
300000,1536,32,1.2926
300000,1536,48,1.3231
300000,1536,64,1.3435
300000,2048,32,1.3401
300000,2048,48,1.3343
300000,2048,64,1.4042
400000,512,32,1.2292
400000,512,48,1.2678
400000,512,64,1.2972
400000,1024,32,1.2665
400000,1024,48,1.3062
400000,1024,64,1.3325
400000,1536,32,1.3072
400000,1536,48,1.329
400000,1536,64,1.353
400000,2048,32,1.3175
400000,2048,48,1.3797
400000,2048,64,1.4076
500000,512,32,1.2635
500000,512,48,1.2762
500000,512,64,1.3263
500000,1024,32,1.2973
500000,1024,48,1.3505
500000,1024,64,1.3441
500000,1536,32,1.3096
500000,1536,48,1.338
500000,1536,64,1.3513
500000,2048,32,1.3231
500000,2048,48,1.4043
500000,2048,64,1.37
600000,512,32,1.2988
600000,512,48,1.3169
600000,512,64,1.3203
600000,1024,32,1.3209
600000,1024,48,1.3387
600000,1024,64,1.341
600000,1536,32,1.3417
600000,1536,48,1.3765
600000,1536,64,1.39
600000,2048,32,1.344
600000,2048,48,1.3327
600000,2048,64,1.3533
700000,512,32,1.309
700000,512,48,1.3175
700000,512,64,1.342
700000,1024,32,1.2969
700000,1024,48,1.3559
700000,1024,64,1.358
700000,1536,32,1.3375
700000,1536,48,1.3628
700000,1536,64,1.3288
700000,2048,32,1.3483
700000,2048,48,1.4036
700000,2048,64,1.3791
800000,512,32,1.3275
800000,512,48,1.3385
800000,512,64,1.3372
800000,1024,32,1.3262
800000,1024,48,1.3453
800000,1024,64,1.3591
800000,1536,32,1.3382
800000,1536,48,1.3962
800000,1536,64,1.3716
800000,2048,32,1.3365
800000,2048,48,1.3774
800000,2048,64,1.3764
900000,512,32,1.3446
900000,512,48,1.3527
900000,512,64,1.3717
900000,1024,32,1.3402
900000,1024,48,1.3887
900000,1024,64,1.3677
900000,1536,32,1.348
900000,1536,48,1.4004
900000,1536,64,1.3875
900000,2048,32,1.3556
900000,2048,48,1.378
900000,2048,64,1.3925
1000000,512,32,1.3531
1000000,512,48,1.3568
