f1_object_key,f2_n,ipc
dog_1.jpg,500,1.8961
dog_1.jpg,600,1.9748
dog_1.jpg,700,1.9836
dog_1.jpg,800,1.9956
dog_1.jpg,900,1.985
dog_1.jpg,1000,1.9805
dog_1.jpg,1100,1.985
dog_1.jpg,1200,2.0043
dog_1.jpg,1300,2.0114
dog_1.jpg,1400,2.0066
dog_1.jpg,1500,2.0301
dog_1.jpg,1600,2.0239
dog_1.jpg,1700,2.0331
dog_1.jpg,1800,2.0605
dog_1.jpg,1900,2.0652
dog_1.jpg,2000,2.0719
dog_2.jpg,500,2.2802
dog_2.jpg,600,2.2307
dog_2.jpg,700,2.2739
dog_2.jpg,800,2.2825
dog_2.jpg,900,2.2702
dog_2.jpg,1000,2.2745
dog_2.jpg,1100,2.2791
dog_2.jpg,1200,2.2728
dog_2.jpg,1300,2.2438
dog_2.jpg,1400,2.2745
dog_2.jpg,1500,2.2934
dog_2.jpg,1600,2.2792
dog_2.jpg,1700,2.2808
dog_2.jpg,1800,2.3061
dog_2.jpg,1900,2.2995
dog_2.jpg,2000,2.3074
dog_3.jpg,500,2.4365
dog_3.jpg,600,2.3977
dog_3.jpg,700,2.4042
dog_3.jpg,800,2.4158
dog_3.jpg,900,2.4245
dog_3.jpg,1000,2.3622
dog_3.jpg,1100,2.427
dog_3.jpg,1200,2.4221
dog_3.jpg,1300,2.4305
dog_3.jpg,1400,2.4129
dog_3.jpg,1500,2.4306
dog_3.jpg,1600,2.4157
dog_3.jpg,1700,2.4323
dog_3.jpg,1800,2.4283
dog_3.jpg,1900,2.439
dog_3.jpg,2000,2.434
dog_4.jpg,500,2.4523
dog_4.jpg,600,2.4242
dog_4.jpg,700,2.4572
dog_4.jpg,800,2.3577
dog_4.jpg,900,2.4402
dog_4.jpg,1000,2.4369
dog_4.jpg,1100,2.4535
dog_4.jpg,1200,2.4531
dog_4.jpg,1300,2.4637
dog_4.jpg,1400,2.4553
dog_4.jpg,1500,2.4591
dog_4.jpg,1600,2.4543
dog_4.jpg,1700,2.4566
dog_4.jpg,1800,2.435
dog_4.jpg,1900,2.4342
dog_4.jpg,2000,2.4579
dog_5.jpg,500,2.2786
dog_5.jpg,600,2.2606
dog_5.jpg,700,2.2724
dog_5.jpg,800,2.2874
dog_5.jpg,900,2.2546
dog_5.jpg,1000,2.2532
dog_5.jpg,1100,2.2729
dog_5.jpg,1200,2.2227
dog_5.jpg,1300,2.2771
dog_5.jpg,1400,2.2753
dog_5.jpg,1500,2.2552
dog_5.jpg,1600,2.287
dog_5.jpg,1700,2.2879
dog_5.jpg,1800,2.2943
dog_5.jpg,1900,2.29
dog_5.jpg,2000,2.313
dog_6.jpg,500,1.9003
dog_6.jpg,600,1.8678
dog_6.jpg,700,1.8747
dog_6.jpg,800,1.9055
dog_6.jpg,900,1.8581
dog_6.jpg,1000,1.8994
dog_6.jpg,1100,1.8902
dog_6.jpg,1200,1.9121
dog_6.jpg,1300,1.8821
dog_6.jpg,1400,1.9355
dog_6.jpg,1500,1.8962
dog_6.jpg,1600,1.8924
dog_6.jpg,1700,1.9335
dog_6.jpg,1800,1.8953
dog_6.jpg,1900,1.8797
dog_6.jpg,2000,1.9588
dog_7.jpg,500,1.5346
dog_7.jpg,600,1.5591
dog_7.jpg,700,1.5067
dog_7.jpg,800,1.5528
dog_7.jpg,900,1.3465
dog_7.jpg,1000,1.0698
dog_7.jpg,1100,1.5048
dog_7.jpg,1200,1.5625
dog_7.jpg,1300,1.5092
dog_7.jpg,1400,1.5775
dog_7.jpg,1500,1.5889
dog_7.jpg,1600,1.5556
dog_7.jpg,1700,1.5642
dog_7.jpg,1800,1.5748
dog_7.jpg,1900,1.5597
dog_7.jpg,2000,1.5964
dog_8.jpg,500,1.1628
dog_8.jpg,600,1.1764
dog_8.jpg,700,1.2087
dog_8.jpg,800,1.2353
dog_8.jpg,900,1.1654
dog_8.jpg,1000,1.1687
dog_8.jpg,1100,1.2044
dog_8.jpg,1200,1.1728
dog_8.jpg,1300,1.1823
dog_8.jpg,1400,1.2346
dog_8.jpg,1500,1.2578
dog_8.jpg,1600,1.2508
dog_8.jpg,1700,1.2344
dog_8.jpg,1800,1.2547
dog_8.jpg,1900,1.3085
dog_8.jpg,2000,1.2472
dog_9.jpg,500,1.2126
dog_9.jpg,600,1.23
dog_9.jpg,700,1.2127
dog_9.jpg,800,1.2325
dog_9.jpg,900,1.2088
dog_9.jpg,1000,1.2286
dog_9.jpg,1100,1.235
dog_9.jpg,1200,1.2481
dog_9.jpg,1300,1.2408
dog_9.jpg,1400,1.2484
dog_9.jpg,1500,1.2546
dog_9.jpg,1600,1.2761
dog_9.jpg,1700,1.2734
dog_9.jpg,1800,1.2797
dog_9.jpg,1900,1.2987
dog_9.jpg,2000,1.3065
