f1_object_key,f2_dataset_object_key,ipc
dog_1.jpg,reviews10mb.csv,1.5789
dog_1.jpg,reviews20mb.csv,1.6102
dog_1.jpg,reviews50mb.csv,1.6654
dog_1.jpg,reviews100mb.csv,1.7432
dog_2.jpg,reviews10mb.csv,1.783
dog_2.jpg,reviews20mb.csv,1.8164
dog_2.jpg,reviews50mb.csv,1.8644
dog_2.jpg,reviews100mb.csv,1.9242
dog_3.jpg,reviews10mb.csv,1.9228
dog_3.jpg,reviews20mb.csv,1.9723
dog_3.jpg,reviews50mb.csv,1.9819
dog_3.jpg,reviews100mb.csv,2.0682
dog_4.jpg,reviews10mb.csv,1.932
dog_4.jpg,reviews20mb.csv,1.9918
dog_4.jpg,reviews50mb.csv,1.9977
dog_4.jpg,reviews100mb.csv,2.0739
dog_5.jpg,reviews10mb.csv,1.7997
dog_5.jpg,reviews20mb.csv,1.8594
dog_5.jpg,reviews50mb.csv,1.8561
dog_5.jpg,reviews100mb.csv,1.9596
dog_6.jpg,reviews10mb.csv,1.6085
dog_6.jpg,reviews20mb.csv,1.6137
dog_6.jpg,reviews50mb.csv,1.6859
dog_6.jpg,reviews100mb.csv,1.6983
dog_7.jpg,reviews10mb.csv,1.4283
dog_7.jpg,reviews20mb.csv,1.439
dog_7.jpg,reviews50mb.csv,1.428
dog_7.jpg,reviews100mb.csv,1.5281
dog_8.jpg,reviews10mb.csv,1.2739
dog_8.jpg,reviews20mb.csv,1.3012
dog_8.jpg,reviews50mb.csv,1.3288
dog_8.jpg,reviews100mb.csv,1.387
dog_9.jpg,reviews10mb.csv,1.2981
dog_9.jpg,reviews20mb.csv,1.3215
dog_9.jpg,reviews50mb.csv,1.3627
dog_9.jpg,reviews100mb.csv,1.4076
