f1_n,f2_dataset_test_object_key,ipc
500,reviews10mb.csv,1.3975
500,reviews20mb.csv,1.4246
500,reviews50mb.csv,1.4841
500,reviews100mb.csv,1.5674
600,reviews10mb.csv,1.3996
600,reviews20mb.csv,1.4238
600,reviews50mb.csv,1.4835
600,reviews100mb.csv,1.566
700,reviews10mb.csv,1.3984
700,reviews20mb.csv,1.4216
700,reviews50mb.csv,1.4823
700,reviews100mb.csv,1.5656
800,reviews10mb.csv,1.4043
800,reviews20mb.csv,1.4325
800,reviews50mb.csv,1.4883
800,reviews100mb.csv,1.5654
900,reviews10mb.csv,1.4082
900,reviews20mb.csv,1.4325
900,reviews50mb.csv,1.4901
900,reviews100mb.csv,1.5748
1000,reviews10mb.csv,1.3997
1000,reviews20mb.csv,1.4371
1000,reviews50mb.csv,1.4912
1000,reviews100mb.csv,1.5766
1100,reviews10mb.csv,1.3655
1100,reviews20mb.csv,1.4376
1100,reviews50mb.csv,1.4933
1100,reviews100mb.csv,1.5768
1200,reviews10mb.csv,1.412
1200,reviews20mb.csv,1.4433
1200,reviews50mb.csv,1.4963
1200,reviews100mb.csv,1.5868
1300,reviews10mb.csv,1.4193
1300,reviews20mb.csv,1.4486
1300,reviews50mb.csv,1.5015
1300,reviews100mb.csv,1.593
1400,reviews10mb.csv,1.4242
1400,reviews20mb.csv,1.454
1400,reviews50mb.csv,1.5068
1400,reviews100mb.csv,1.594
1500,reviews10mb.csv,1.4266
1500,reviews20mb.csv,1.4625
1500,reviews50mb.csv,1.507
1500,reviews100mb.csv,1.603
1600,reviews10mb.csv,1.4368
1600,reviews20mb.csv,1.4659
1600,reviews50mb.csv,1.5132
1600,reviews100mb.csv,1.6085
1700,reviews10mb.csv,1.4497
1700,reviews20mb.csv,1.4771
1700,reviews50mb.csv,1.5342
1700,reviews100mb.csv,1.6108
1800,reviews10mb.csv,1.4572
1800,reviews20mb.csv,1.4814
1800,reviews50mb.csv,1.5363
1800,reviews100mb.csv,1.6228
1900,reviews10mb.csv,1.4682
1900,reviews20mb.csv,1.4926
1900,reviews50mb.csv,1.5489
1900,reviews100mb.csv,1.6294
2000,reviews10mb.csv,1.4777
2000,reviews20mb.csv,1.5028
2000,reviews50mb.csv,1.5601
2000,reviews100mb.csv,1.6358
