f1_n,f2_dataset_object_key,ipc
500,reviews10mb.csv,1.342
500,reviews20mb.csv,1.3931
500,reviews50mb.csv,1.471
500,reviews100mb.csv,1.5611
600,reviews10mb.csv,1.3606
600,reviews20mb.csv,1.3935
600,reviews50mb.csv,1.4685
600,reviews100mb.csv,1.5583
700,reviews10mb.csv,1.3642
700,reviews20mb.csv,1.3928
700,reviews50mb.csv,1.4732
700,reviews100mb.csv,1.5591
800,reviews10mb.csv,1.3653
800,reviews20mb.csv,1.3941
800,reviews50mb.csv,1.4769
800,reviews100mb.csv,1.5611
900,reviews10mb.csv,1.3652
900,reviews20mb.csv,1.4019
900,reviews50mb.csv,1.4674
900,reviews100mb.csv,1.5646
1000,reviews10mb.csv,1.3671
1000,reviews20mb.csv,1.4058
1000,reviews50mb.csv,1.4808
1000,reviews100mb.csv,1.571
1100,reviews10mb.csv,1.3736
1100,reviews20mb.csv,1.409
1100,reviews50mb.csv,1.4776
1100,reviews100mb.csv,1.5706
1200,reviews10mb.csv,1.3681
1200,reviews20mb.csv,1.4093
1200,reviews50mb.csv,1.4708
1200,reviews100mb.csv,1.5757
1300,reviews10mb.csv,1.3753
1300,reviews20mb.csv,1.4149
1300,reviews50mb.csv,1.4914
1300,reviews100mb.csv,1.5791
1400,reviews10mb.csv,1.3864
1400,reviews20mb.csv,1.415
1400,reviews50mb.csv,1.4985
1400,reviews100mb.csv,1.5779
1500,reviews10mb.csv,1.3989
1500,reviews20mb.csv,1.4207
1500,reviews50mb.csv,1.5012
1500,reviews100mb.csv,1.5874
1600,reviews10mb.csv,1.3953
1600,reviews20mb.csv,1.4331
1600,reviews50mb.csv,1.5001
1600,reviews100mb.csv,1.5894
1700,reviews10mb.csv,1.4087
1700,reviews20mb.csv,1.4394
1700,reviews50mb.csv,1.5104
1700,reviews100mb.csv,1.5644
1800,reviews10mb.csv,1.386
1800,reviews20mb.csv,1.4415
1800,reviews50mb.csv,1.5253
1800,reviews100mb.csv,1.6013
1900,reviews10mb.csv,1.4228
1900,reviews20mb.csv,1.459
1900,reviews50mb.csv,1.5212
1900,reviews100mb.csv,1.6138
2000,reviews10mb.csv,1.4287
2000,reviews20mb.csv,1.4706
2000,reviews50mb.csv,1.5498
2000,reviews100mb.csv,1.6264
