f1_dataset_test_object_key,f2_length_of_message,f2_num_of_iterations,ipc
reviews10mb.csv,512,32,1.3882
reviews10mb.csv,512,48,1.3996
reviews10mb.csv,512,64,1.4029
reviews10mb.csv,1024,32,1.3926
reviews10mb.csv,1024,48,1.3987
reviews10mb.csv,1024,64,1.4039
reviews10mb.csv,1536,32,1.3991
reviews10mb.csv,1536,48,1.4062
reviews10mb.csv,1536,64,1.4035
reviews10mb.csv,2048,32,1.4014
reviews10mb.csv,2048,48,1.4015
reviews10mb.csv,2048,64,1.4027
reviews20mb.csv,512,32,1.4266
reviews20mb.csv,512,48,1.4309
reviews20mb.csv,512,64,1.4319
reviews20mb.csv,1024,32,1.4182
reviews20mb.csv,1024,48,1.4314
reviews20mb.csv,1024,64,1.4152
reviews20mb.csv,1536,32,1.4202
reviews20mb.csv,1536,48,1.43
reviews20mb.csv,1536,64,1.4087
reviews20mb.csv,2048,32,1.4286
reviews20mb.csv,2048,48,1.429
reviews20mb.csv,2048,64,1.4147
reviews50mb.csv,512,32,1.4755
reviews50mb.csv,512,48,1.4778
reviews50mb.csv,512,64,1.4795
reviews50mb.csv,1024,32,1.4655
reviews50mb.csv,1024,48,1.4554
reviews50mb.csv,1024,64,1.4535
reviews50mb.csv,1536,32,1.4713
reviews50mb.csv,1536,48,1.4621
reviews50mb.csv,1536,64,1.4596
reviews50mb.csv,2048,32,1.4653
reviews50mb.csv,2048,48,1.4659
reviews50mb.csv,2048,64,1.4553
reviews100mb.csv,512,32,1.5605
reviews100mb.csv,512,48,1.5645
reviews100mb.csv,512,64,1.5472
reviews100mb.csv,1024,32,1.5433
reviews100mb.csv,1024,48,1.5539
reviews100mb.csv,1024,64,1.5308
reviews100mb.csv,1536,32,1.537
reviews100mb.csv,1536,48,1.4979
reviews100mb.csv,1536,64,1.464
reviews100mb.csv,2048,32,1.5285
reviews100mb.csv,2048,48,1.5168
reviews100mb.csv,2048,64,1.5077
