f1_dataset_object_key,f2_length_of_message,f2_num_of_iterations,ipc
reviews10mb.csv,512,32,1.3461
reviews10mb.csv,512,48,1.3642
reviews10mb.csv,512,64,1.3709
reviews10mb.csv,1024,32,1.3612
reviews10mb.csv,1024,48,1.3608
reviews10mb.csv,1024,64,1.3782
reviews10mb.csv,1536,32,1.3656
reviews10mb.csv,1536,48,1.3674
reviews10mb.csv,1536,64,1.3913
reviews10mb.csv,2048,32,1.382
reviews10mb.csv,2048,48,1.38
reviews10mb.csv,2048,64,1.3851
reviews20mb.csv,512,32,1.3951
reviews20mb.csv,512,48,1.3955
reviews20mb.csv,512,64,1.3955
reviews20mb.csv,1024,32,1.3882
reviews20mb.csv,1024,48,1.3997
reviews20mb.csv,1024,64,1.3969
reviews20mb.csv,1536,32,1.3872
reviews20mb.csv,1536,48,1.3962
reviews20mb.csv,1536,64,1.4099
reviews20mb.csv,2048,32,1.3964
reviews20mb.csv,2048,48,1.388
reviews20mb.csv,2048,64,1.393
reviews50mb.csv,512,32,1.467
reviews50mb.csv,512,48,1.4554
reviews50mb.csv,512,64,1.4667
reviews50mb.csv,1024,32,1.4561
reviews50mb.csv,1024,48,1.4572
reviews50mb.csv,1024,64,1.4706
reviews50mb.csv,1536,32,1.4577
reviews50mb.csv,1536,48,1.4557
reviews50mb.csv,1536,64,1.4407
reviews50mb.csv,2048,32,1.4579
reviews50mb.csv,2048,48,1.4482
reviews50mb.csv,2048,64,1.4639
reviews100mb.csv,512,32,1.5433
reviews100mb.csv,512,48,1.5492
reviews100mb.csv,512,64,1.5383
reviews100mb.csv,1024,32,1.5464
reviews100mb.csv,1024,48,1.5291
reviews100mb.csv,1024,64,1.5099
reviews100mb.csv,1536,32,1.5352
reviews100mb.csv,1536,48,1.5118
reviews100mb.csv,1536,64,1.508
reviews100mb.csv,2048,32,1.5236
reviews100mb.csv,2048,48,1.5039
reviews100mb.csv,2048,64,1.5034
