f1_length_of_message,f1_num_of_iterations,f2_length_of_message,f2_num_of_iterations,ipc
512,32,512,32,1.0945
512,32,512,48,1.2116
512,32,512,64,1.233
512,32,1024,32,1.2264
512,32,1024,48,1.2732
512,32,1024,64,1.3117
512,32,1536,32,1.2667
512,32,1536,48,1.3067
512,32,1536,64,1.3385
512,32,2048,32,1.3017
512,32,2048,48,1.3207
512,32,2048,64,1.2697
512,48,512,48,1.1557
512,48,512,64,1.2168
512,48,1024,32,1.2617
512,48,1024,48,1.2995
512,48,1024,64,1.2608
512,48,1536,32,1.2816
512,48,1536,48,1.293
512,48,1536,64,1.2962
512,48,2048,32,1.3117
512,48,2048,48,1.3478
512,48,2048,64,1.3644
512,64,512,64,1.2664
512,64,1024,32,1.2217
512,64,1024,48,1.2216
512,64,1024,64,1.3271
512,64,1536,32,1.3041
512,64,1536,48,1.3416
512,64,1536,64,1.366
512,64,2048,32,1.3097
512,64,2048,48,1.3267
512,64,2048,64,1.3295
1024,32,1024,32,1.2546
1024,32,1024,48,1.2641
1024,32,1024,64,1.3326
1024,32,1536,32,1.2884
1024,32,1536,48,1.3332
1024,32,1536,64,1.3556
1024,32,2048,32,1.3217
1024,32,2048,48,1.3317
1024,32,2048,64,1.3317
1024,48,1024,48,1.3313
1024,48,1024,64,1.3372
1024,48,1536,32,1.2802
1024,48,1536,48,1.2977
1024,48,1536,64,1.2961
1024,48,2048,32,1.2955
1024,48,2048,48,1.3283
1024,48,2048,64,1.3736
1024,64,1024,64,1.3143
1024,64,1536,32,1.344
1024,64,1536,48,1.3196
1024,64,1536,64,1.3462
1024,64,2048,32,1.355
1024,64,2048,48,1.3851
1024,64,2048,64,1.3849
1536,32,1536,32,1.3143
1536,32,1536,48,1.3521
1536,32,1536,64,1.3251
1536,32,2048,32,1.313
1536,32,2048,48,1.3846
1536,32,2048,64,1.398
1536,48,1536,48,1.3682
1536,48,1536,64,1.3804
1536,48,2048,32,1.3668
1536,48,2048,48,1.3822
1536,48,2048,64,1.3875
1536,64,1536,64,1.3723
1536,64,2048,32,1.2858
1536,64,2048,48,1.3687
1536,64,2048,64,1.371
2048,32,2048,32,1.3088
2048,32,2048,48,1.3843
2048,32,2048,64,1.3973
2048,48,2048,48,1.3969
2048,48,2048,64,1.3984
2048,64,2048,64,1.3971
